query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
time management ai online,108,429.0,time management ai,429.0,0,86.98347107438016,50,45,C,I,0.5,,信息型,创建教程、指南或信息图表
how to time management ai,693,392.0,time management ai,392.0,0,79.33884297520662,50,42,C,I,1.0,,信息型,创建教程、指南或信息图表
how to time management ai,970,443.0,time management ai,443.0,0,89.87603305785125,50,46,C,I,1.0,,信息型,创建教程、指南或信息图表
time management ai tips,471,185.0,time management ai,185.0,0,36.570247933884296,50,25,D,I,0.5,,信息型,创建教程、指南或信息图表
time management ai tool,652,400.0,time management ai,400.0,0,80.99173553719008,50,42,C,I,0.5,,信息型,创建教程、指南或信息图表
how to time management ai,402,128.0,time management ai,128.0,0,24.793388429752067,50,20,D,I,1.0,,信息型,创建教程、指南或信息图表
how to time management ai,24,337.0,time management ai,337.0,0,67.97520661157024,50,37,C,I,1.0,,信息型,创建教程、指南或信息图表
time management ai guide,563,484.0,time management ai,484.0,0,98.34710743801652,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
how to time management ai,901,479.0,time management ai,479.0,0,97.31404958677686,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
time management ai cost,250,285.0,time management ai,285.0,0,57.231404958677686,50,33,C,I,0.5,,信息型,创建教程、指南或信息图表
如何 time management ai,573,226.0,time management ai,226.0,0,45.04132231404959,50,28,D,I,1.0,,信息型,创建教程、指南或信息图表
