query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
time management ai best,583,461.0,time management ai,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top time management ai,737,394.0,time management ai,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
top time management ai,996,247.0,time management ai,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai comparison,556,394.0,time management ai,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
最佳 time management ai,748,125.0,time management ai,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai review,227,231.0,time management ai,231.0,0,46.074380165289256,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
top time management ai,880,136.0,time management ai,136.0,0,26.446280991735538,50,21,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai best,804,469.0,time management ai,469.0,0,95.24793388429752,50,48,C,C,1.0,,商业型,创建对比页面或评测内容
最佳 time management ai,216,235.0,time management ai,235.0,0,46.900826446280995,50,29,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 time management ai,700,223.0,time management ai,223.0,0,44.421487603305785,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
top time management ai,743,450.0,time management ai,450.0,0,91.32231404958678,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
time management ai review,240,219.0,time management ai,219.0,0,43.59504132231405,50,27,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai review,758,492.0,time management ai,492.0,0,100.0,50,50,C,C,1.0,,商业型,创建对比页面或评测内容
