query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
time management ai best,583,461.0,time management ai,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top time management ai,737,394.0,time management ai,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
free time management ai,814,298.0,time management ai,298.0,0,59.917355371900825,50,34,C,E,1.0,,交易型,优化购买流程，添加促销信息
time management ai online,108,429.0,time management ai,429.0,0,86.98347107438016,50,45,C,I,0.5,,信息型,创建教程、指南或信息图表
how to time management ai,693,392.0,time management ai,392.0,0,79.33884297520662,50,42,C,I,1.0,,信息型,创建教程、指南或信息图表
time management ai price,735,441.0,time management ai,441.0,0,89.46280991735537,50,46,C,E,1.0,,交易型,优化购买流程，添加促销信息
top time management ai,996,247.0,time management ai,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai comparison,556,394.0,time management ai,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
how to time management ai,970,443.0,time management ai,443.0,0,89.87603305785125,50,46,C,I,1.0,,信息型,创建教程、指南或信息图表
最佳 time management ai,748,125.0,time management ai,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai tips,471,185.0,time management ai,185.0,0,36.570247933884296,50,25,D,I,0.5,,信息型,创建教程、指南或信息图表
time management ai tool,652,400.0,time management ai,400.0,0,80.99173553719008,50,42,C,I,0.5,,信息型,创建教程、指南或信息图表
free time management ai,778,423.0,time management ai,423.0,0,85.74380165289256,50,44,C,E,1.0,,交易型,优化购买流程，添加促销信息
time management ai review,227,231.0,time management ai,231.0,0,46.074380165289256,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
free time management ai,512,180.0,time management ai,180.0,0,35.53719008264463,50,24,D,E,1.0,,交易型,优化购买流程，添加促销信息
top time management ai,880,136.0,time management ai,136.0,0,26.446280991735538,50,21,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai best,804,469.0,time management ai,469.0,0,95.24793388429752,50,48,C,C,1.0,,商业型,创建对比页面或评测内容
how to time management ai,402,128.0,time management ai,128.0,0,24.793388429752067,50,20,D,I,1.0,,信息型,创建教程、指南或信息图表
最佳 time management ai,216,235.0,time management ai,235.0,0,46.900826446280995,50,29,D,C,1.0,,商业型,创建对比页面或评测内容
how to time management ai,24,337.0,time management ai,337.0,0,67.97520661157024,50,37,C,I,1.0,,信息型,创建教程、指南或信息图表
free time management ai,867,150.0,time management ai,150.0,0,29.33884297520661,50,22,D,E,1.0,,交易型,优化购买流程，添加促销信息
time management ai guide,563,484.0,time management ai,484.0,0,98.34710743801652,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
how to time management ai,901,479.0,time management ai,479.0,0,97.31404958677686,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
最佳 time management ai,700,223.0,time management ai,223.0,0,44.421487603305785,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai cost,250,285.0,time management ai,285.0,0,57.231404958677686,50,33,C,I,0.5,,信息型,创建教程、指南或信息图表
如何 time management ai,573,226.0,time management ai,226.0,0,45.04132231404959,50,28,D,I,1.0,,信息型,创建教程、指南或信息图表
top time management ai,743,450.0,time management ai,450.0,0,91.32231404958678,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
time management ai review,240,219.0,time management ai,219.0,0,43.59504132231405,50,27,D,C,1.0,,商业型,创建对比页面或评测内容
time management ai review,758,492.0,time management ai,492.0,0,100.0,50,50,C,C,1.0,,商业型,创建对比页面或评测内容
