query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
ai tools 教程,42,76.0,ai tools,76.0,0,14.049586776859504,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools 工具,57,8.0,ai tools,-8.0,0,0.0,50,10,D,I,0.5,,信息型,创建教程、指南或信息图表
ai tools online,108,429.0,ai tools,429.0,0,86.98347107438016,50,45,C,I,0.5,,信息型,创建教程、指南或信息图表
how to ai tools,693,392.0,ai tools,392.0,0,79.33884297520662,50,42,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,881,53.0,ai tools,53.0,0,9.297520661157025,50,14,D,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,970,443.0,ai tools,443.0,0,89.87603305785125,50,46,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,952,75.0,ai tools,75.0,0,13.84297520661157,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools tips,471,185.0,ai tools,185.0,0,36.570247933884296,50,25,D,I,0.5,,信息型,创建教程、指南或信息图表
ai tools tool,652,400.0,ai tools,400.0,0,80.99173553719008,50,42,C,I,0.5,,信息型,创建教程、指南或信息图表
ai tools 教程,776,72.0,ai tools,72.0,0,13.223140495867769,50,15,D,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,402,128.0,ai tools,128.0,0,24.793388429752067,50,20,D,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,24,337.0,ai tools,337.0,0,67.97520661157024,50,37,C,I,1.0,,信息型,创建教程、指南或信息图表
ai tools guide,563,484.0,ai tools,484.0,0,98.34710743801652,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,901,479.0,ai tools,479.0,0,97.31404958677686,50,49,C,I,1.0,,信息型,创建教程、指南或信息图表
ai tools 指南,470,88.0,ai tools,88.0,0,16.52892561983471,50,17,D,I,0.5,,信息型,创建教程、指南或信息图表
ai tools 工具,873,107.0,ai tools,107.0,0,20.454545454545453,50,18,D,I,0.5,,信息型,创建教程、指南或信息图表
ai tools cost,250,285.0,ai tools,285.0,0,57.231404958677686,50,33,C,I,0.5,,信息型,创建教程、指南或信息图表
如何 ai tools,573,226.0,ai tools,226.0,0,45.04132231404959,50,28,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools guide,664,83.0,ai tools,83.0,0,15.49586776859504,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
