query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
top ai tools,512,109.0,ai tools,109.0,0,20.867768595041323,50,18,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,416,39.0,ai tools,39.0,0,6.404958677685951,50,13,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools best,583,461.0,ai tools,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,737,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,996,247.0,ai tools,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools comparison,556,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,748,125.0,ai tools,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,622,11.0,ai tools,11.0,0,0.6198347107438017,50,10,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools review,227,231.0,ai tools,231.0,0,46.074380165289256,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,880,136.0,ai tools,136.0,0,26.446280991735538,50,21,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools best,804,469.0,ai tools,469.0,0,95.24793388429752,50,48,C,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,216,235.0,ai tools,235.0,0,46.900826446280995,50,29,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,700,223.0,ai tools,223.0,0,44.421487603305785,50,28,D,C,1.0,,商业型,创建对比页面或评测内容
best ai tools,584,115.0,ai tools,115.0,0,22.107438016528924,50,19,D,C,1.0,,商业型,创建对比页面或评测内容
best ai tools,105,22.0,ai tools,-22.0,0,2.8925619834710745,50,11,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,743,450.0,ai tools,450.0,0,91.32231404958678,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,494,82.0,ai tools,82.0,0,15.289256198347108,50,16,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools review,240,219.0,ai tools,219.0,0,43.59504132231405,50,27,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools review,758,492.0,ai tools,492.0,0,100.0,50,50,C,C,1.0,,商业型,创建对比页面或评测内容
