query,volume,growth,seed_keyword,growth_rate,volume_score,growth_score,kd_score,score,grade,intent,intent_confidence,secondary_intent,intent_description,recommended_action
ai tools 教程,42,76.0,ai tools,76.0,0,14.049586776859504,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools 工具,57,8.0,ai tools,-8.0,0,0.0,50,10,D,I,0.5,,信息型,创建教程、指南或信息图表
top ai tools,512,109.0,ai tools,109.0,0,20.867768595041323,50,18,D,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,416,39.0,ai tools,39.0,0,6.404958677685951,50,13,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools best,583,461.0,ai tools,461.0,0,93.59504132231405,50,47,C,C,1.0,,商业型,创建对比页面或评测内容
top ai tools,737,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
free ai tools,814,298.0,ai tools,298.0,0,59.917355371900825,50,34,C,E,1.0,,交易型,优化购买流程，添加促销信息
ai tools online,108,429.0,ai tools,429.0,0,86.98347107438016,50,45,C,I,0.5,,信息型,创建教程、指南或信息图表
how to ai tools,693,392.0,ai tools,392.0,0,79.33884297520662,50,42,C,I,1.0,,信息型,创建教程、指南或信息图表
how to ai tools,881,53.0,ai tools,53.0,0,9.297520661157025,50,14,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools price,735,441.0,ai tools,441.0,0,89.46280991735537,50,46,C,E,1.0,,交易型,优化购买流程，添加促销信息
top ai tools,996,247.0,ai tools,247.0,0,49.3801652892562,50,30,D,C,1.0,,商业型,创建对比页面或评测内容
ai tools comparison,556,394.0,ai tools,394.0,0,79.75206611570248,50,42,C,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,970,443.0,ai tools,443.0,0,89.87603305785125,50,46,C,I,1.0,,信息型,创建教程、指南或信息图表
最佳 ai tools,748,125.0,ai tools,125.0,0,24.173553719008265,50,20,D,C,1.0,,商业型,创建对比页面或评测内容
最佳 ai tools,622,11.0,ai tools,11.0,0,0.6198347107438017,50,10,D,C,1.0,,商业型,创建对比页面或评测内容
how to ai tools,952,75.0,ai tools,75.0,0,13.84297520661157,50,16,D,I,1.0,,信息型,创建教程、指南或信息图表
ai tools tips,471,185.0,ai tools,185.0,0,36.570247933884296,50,25,D,I,0.5,,信息型,创建教程、指南或信息图表
