query,search_volume,competition,cpc
ai image generator,12000,0.6,2.5
pdf converter online,8500,0.4,1.8
code formatter tool,3200,0.3,1.2
ai writing assistant,15000,0.7,3.2
video compressor free,5600,0.5,2.1
qr code generator,9800,0.4,1.5
password generator secure,4300,0.3,1.0
ai logo maker,7200,0.6,2.8
text to speech converter,6100,0.5,2.0
image background remover,11000,0.6,2.7
json formatter online,2800,0.2,0.8
color palette generator,3500,0.4,1.3
markdown to html converter,1900,0.3,0.9
ai content detector,4800,0.5,2.2
url shortener free,6700,0.4,1.6
resume builder online,13500,0.8,3.5
invoice generator free,5200,0.5,1.9
barcode generator online,3100,0.3,1.1
ai chatbot builder,8900,0.7,3.0
website screenshot tool,2600,0.3,1.0
