query,value,seed_keyword,monthly_searches,competition,cpc,volume_score,growth_score,kd_score,score,grade
what is the term for unauthorized use of ai tools by employees without their employer's permission?,2350,ai tools,7370,0.04666566321361543,2.18,100.0,0,50,50,C
best ai seo tools 2025,750,ai tools,960,0.9737555188414592,1.12,29.82456140350877,0,50,22,D
ai tools for ecommerce,300,ai tools,5490,0.23277134043030423,2.88,10.087719298245615,0,50,14,D
claude code,300,ai tools,5291,0.0906064345328208,0.25,10.087719298245615,0,50,14,D
ai automation tools,250,ai tools,5834,0.6183860093330873,4.23,7.894736842105263,0,50,13,D
ai video generation tools,250,ai tools,6365,0.38246199126716274,2.3,7.894736842105263,0,50,13,D
top ai tools,200,ai tools,566,0.9832308858067882,2.04,5.701754385964913,0,50,12,D
best ai tools for business,200,ai tools,4526,0.4667628932479799,4.64,5.701754385964913,0,50,12,D
n8n,170,ai tools,5678,0.8599404067363206,3.66,4.385964912280702,0,50,12,D
free ai tools list,160,ai tools,8422,0.6803075385877797,1.7,3.9473684210526314,0,50,12,D
top 10 ai tools,150,ai tools,1785,0.450499251969543,2.9,3.508771929824561,0,50,11,D
ai tools for small business,150,ai tools,869,0.013264961159866528,2.65,3.508771929824561,0,50,11,D
ai tools for business,140,ai tools,7049,0.9422017556848528,4.81,3.0701754385964914,0,50,11,D
ai tools for marketing,140,ai tools,2533,0.5632882178455393,4.24,3.0701754385964914,0,50,11,D
ai business tools,140,ai tools,5411,0.3854165025399161,3.76,3.0701754385964914,0,50,11,D
perplexity,130,ai tools,5151,0.015966252220214194,2.74,2.6315789473684212,0,50,11,D
ai sales tools,130,ai tools,6520,0.230893825622149,2.98,2.6315789473684212,0,50,11,D
perplexity ai,110,ai tools,1284,0.24102546602601171,4.83,1.7543859649122806,0,50,11,D
ai tools list,110,ai tools,4655,0.6832635188254582,3.07,1.7543859649122806,0,50,11,D
legal ai tools,110,ai tools,3485,0.6099966577826209,1.45,1.7543859649122806,0,50,11,D
ai marketing tools,110,ai tools,6496,0.8331949117361643,1.55,1.7543859649122806,0,50,11,D
best ai tools,80,ai tools,8766,0.17336465350777208,0.91,0.43859649122807015,0,50,10,D
list of ai tools,80,ai tools,9374,0.3910606075732408,0.18,0.43859649122807015,0,50,10,D
ai design tools,80,ai tools,2658,0.18223608778806233,2.17,0.43859649122807015,0,50,10,D
ai tools for research,70,ai tools,7949,0.7553614103176525,2.03,0.0,0,50,10,D
