词根,状态,平均兴趣度,峰值兴趣度,趋势方向,相关查询数量
AI,失败,0,0,未知,0
artificial intelligence,失败,0,0,未知,0
machine learning,失败,0,0,未知,0
deep learning,失败,0,0,未知,0
neural network,失败,0,0,未知,0
chatbot,失败,0,0,未知,0
GPT,失败,0,0,未知,0
OpenAI,失败,0,0,未知,0
ChatGPT,失败,0,0,未知,0
language model,失败,0,0,未知,0
computer vision,失败,0,0,未知,0
natural language processing,失败,0,0,未知,0
NLP,失败,0,0,未知,0
automation,失败,0,0,未知,0
robot,失败,0,0,未知,0
algorithm,失败,0,0,未知,0
data science,失败,0,0,未知,0
big data,失败,0,0,未知,0
analytics,失败,0,0,未知,0
prediction,失败,0,0,未知,0
classification,失败,0,0,未知,0
clustering,失败,0,0,未知,0
regression,失败,0,0,未知,0
supervised learning,失败,0,0,未知,0
unsupervised learning,失败,0,0,未知,0
reinforcement learning,失败,0,0,未知,0
transfer learning,失败,0,0,未知,0
generative AI,失败,0,0,未知,0
LLM,失败,0,0,未知,0
transformer,失败,0,0,未知,0
BERT,失败,0,0,未知,0
attention mechanism,失败,0,0,未知,0
encoder,失败,0,0,未知,0
decoder,失败,0,0,未知,0
embedding,失败,0,0,未知,0
tokenization,失败,0,0,未知,0
fine-tuning,失败,0,0,未知,0
prompt engineering,失败,0,0,未知,0
few-shot learning,失败,0,0,未知,0
zero-shot learning,失败,0,0,未知,0
multimodal,失败,0,0,未知,0
text-to-image,失败,0,0,未知,0
image generation,失败,0,0,未知,0
voice synthesis,失败,0,0,未知,0
speech recognition,失败,0,0,未知,0
recommendation system,失败,0,0,未知,0
personalization,失败,0,0,未知,0
content generation,失败,0,0,未知,0
code generation,失败,0,0,未知,0
AI assistant,失败,0,0,未知,0
